def,ID pers,ID,ID loan,п1,п2,п3,п4,п5,п6,п7,п8,п9,п10,п11,п12,п13,п14,п15,п16,п17,п18,п19,п20,п21,п22,п23,п24,п25,п26,п27,п28,п29,п30,п31,п32,п33,п34,п35,п36,п37,п38,п39,п40,п41,п42,п43,п44,п45,п46,п47,п48,п49,п50,п51,п52,п53,п54,п55,п56,п57,п58,п59,п60,п61,п62,п63,п64,п65,п66,
0,236512,52.110121.004,52-110121-1-1,Престиж,Да,Нет,24.9,5000,5000,36,36,41,1,бе,нв,1,с,б,22,1,0,сс,п,пр,58,пп,Нет,Нет,Нет,0,0,424.83,424.83,457.05,457.05,р,33.69,970.35,дз,680.39,1125.5,970.35,Да,52000,11.01.2021,,дк,655,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,5000,Нет,Да,57,
0,0975K4,55.110121.002,55-110121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,35,1,бе,но,1,р,б,7,2,0,с,п,п,71,ит,Нет,Нет,Нет,0,1,4931.32,4931.32,4613.59,4613.59,и,17.08,5902.68,дз,0,0,5902.68,Да,55000,11.01.2021,,и,328,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,,
0,309090,55.110121.004,55-120121-1-1,Классик,Нет,Нет,24.9,4000,4000,36,36,35,2,бе,нв,1,с,б,8,1,0,сс,п,р,94,пп,Нет,Нет,Нет,0,0,431.88,431.88,412.84,412.84,р,24.73,860.4,дз,674.54,1125.5,860.4,Да,55000,12.01.2021,,и,663,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,4000,Нет,Да,94,
0,0975CH,65.110121.001,65-110121-1-1,Классик,Нет,Нет,24.9,1500,1500,36,36,48,2,бе,нв,2,с,р,0,0,0,сс,п,р,19,т,Нет,Нет,Нет,0,0,503.12,503.12,503.12,503.12,р,9.21,788.8,дз,729.01,977.2,788.8,Да,65000,11.01.2021,,зн,320,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1500,Нет,Да,19,
0,513338,65.110121.002,65-120121-1-1,Престиж,Да,Нет,24.9,1000,1000,36,36,27,1,бе,за,1,с,б,5,1,0,сс,п,р,99,пп,Нет,Нет,Нет,1,0,495.88,495.88,495.88,495.88,р,5.24,924.4,дз,821.04,1125.5,924.4,Да,65000,11.01.2021,,дк,762,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,1000,Нет,Да,99,
0,0975A6,66.110121.001,66-110121-1-1,Классик,Нет,Нет,24.9,2100,2100,36,36,46,2,бе,нв,1,с,н,0,0,0,сс,п,р,4,сх,Нет,Нет,Нет,0,0,252.62,252.62,213.05,213.05,р,30.14,568.3,дз,364.94,787.1,568.3,Да,66000,11.01.2021,,зн,225,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2100,Нет,Да,4,
0,277078,71.110121.001,71-120121-1-1,Престиж,Да,Нет,24.9,4000,4000,36,36,47,2,бе,нв,1,с,р,0,1,0,в,п,с,31,бу,Нет,Нет,Нет,0,0,203.77,203.77,203.77,203.77,р,30.64,632.29,дз,581.99,1159.1,632.29,Да,71000,11.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,4000,Нет,Да,19,
0,204697,81.110121.001,81-110121-1-1,Классик,Нет,Нет,24.9,2000,2000,36,36,32,1,бе,нв,1,р,н,0,0,0,в,п,п,41,у,Нет,Нет,Нет,0,0,1157.59,1157.59,990.77,990.77,и,28.85,1773.27,дз,0,0,1773.27,Да,81000,11.01.2021,,зн,436,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2000,Нет,Да,,
0,0975J6,88.110121.002,88-120121-1-1,Классик,Нет,Нет,24.9,1645,1645,24,24,65,1,бе,за,1,с,б,43,0,0,с,п,нп,0,,Нет,Нет,Нет,0,0,261.99,261.99,261.99,261.99,н,18.7,547.67,дз,0,0,547.67,Да,88000,11.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,24,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1645,Да,Да,,
0,260984,51.120121.002,51-120121-1-1,Классик,Нет,Нет,24.9,6000,5500,36,36,37,1,бе,за,1,с,б,4,2,0,сс,п,п,113,бу,Нет,Нет,Нет,0,0,464.31,464.31,268.32,268.32,и,38.68,1105.67,дз,0,0,1105.67,Да,51000,12.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,5500,Нет,Да,,
0,097559,53.120121.003,53-130121-1-2,Классик,Нет,Нет,24.9,5000,2000,36,36,25,2,бе,нв,1,р,б,6,2,1,сс,п,нп,0,,Нет,Нет,Нет,0,0,275.44,275.44,269.27,269.27,н,18.87,916.8,дз,0,0,916.8,Да,53000,12.01.2021,,и,291,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2000,Нет,Да,,
0,738330,54.120121.001,54-120121-1-1,Престиж,Да,Да,24.9,5500,5500,36,36,39,2,бе,нв,1,с,б,14,1,0,сс,п,р,244,пп,Нет,Нет,Нет,0,0,1238.59,1238.59,970.75,970.75,р,34.41,1727.11,дз,1541.21,1125.5,1727.11,Да,54000,12.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,5500,Нет,Да,216,
0,797211,55.120121.003,55-130121-1-1,Престиж,Нет,Нет,24.9,6050,6050,36,36,50,2,бе,нв,1,с,б,8,0,0,в,п,пр,45,пп,Нет,Нет,Нет,0,0,1480.92,1480.92,1490.64,1490.64,р,25.33,1986.6,дз,1221.01,1125.5,1986.6,Да,55000,12.01.2021,,дк,992,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6050,Нет,Да,45,
0,093TFV,78.120121.002,78-120121-1-1,Престиж,Да,Нет,24.9,5000,5000,36,36,39,1,бе,ос,1,р,б,12,2,0,с,п,ро,16,бу,Нет,Нет,Нет,0,0,376.8,376.8,376.8,376.8,р,25.54,948.16,дз,331.69,1159.1,948.16,Да,78000,12.01.2021,,и,785,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,5000,Нет,Да,16,
0,097K1V,88.120121.001,88-120121-1-2,Классик,Нет,Нет,24.9,2100,2100,36,36,39,2,бе,нв,1,р,б,0,1,0,в,п,с,12,у,Нет,Нет,Нет,0,0,336.27,336.27,336.27,336.27,р,13.3,764.79,дз,674.91,798.5,764.79,Да,88000,12.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2100,Нет,Да,12,
1,096VY4,98.120121.001,98-130121-1-1,Классик,Нет,Нет,24.9,900,900,36,36,28,2,бе,нв,1,р,р,0,2,1,сс,п,р,35,т,Нет,Нет,Нет,2,0,45.99,45.99,45.99,45.99,р,7.06,617.35,дз,115.76,977.2,617.35,Нет,98000,12.01.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,900,Нет,Да,35,
0,094P8V,51.130121.001,51-130121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,28,1,бе,за,1,с,б,7,2,0,сс,п,пр,26,пп,Нет,Нет,Нет,0,0,1275.12,1275.12,1265.6,1265.6,р,16.25,1846.48,дз,1363.75,1125.5,1846.48,Да,51000,13.01.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Да,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,26,
0,305809,52.130121.002,52-130121-1-1,Престиж,Да,Нет,24.9,3000,2500,36,36,28,2,бе,нв,1,а,н,0,0,0,сс,п,с,78,у,Нет,Нет,Нет,0,0,445.09,445.09,400.28,400.28,р,39.31,930.77,дз,909.57,798.5,930.77,Да,52000,13.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,2500,Нет,Да,78,
0,092546,53.130121.001,53-130121-1-1,Престиж,Да,Нет,24.9,5000,5000,36,36,49,1,бе,нв,1,р,н,0,0,0,с,п,с,366,сх,Нет,Нет,Нет,0,0,662.65,662.65,652.39,652.39,р,29.16,982.33,дз,822.05,787.1,982.33,Да,53000,13.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,5000,Нет,Да,180,
0,450638,55.130121.001,55-190121-1-1,Престиж,Нет,Нет,24.9,9000,9000,36,36,59,2,бе,нв,1,с,в,0,0,0,сс,п,с,508,зо,Да,Нет,Нет,0,0,1712.68,1712.68,1715.28,1715.28,р,17.52,2138.36,дз,1666.68,852.8,2138.36,Да,55000,18.01.2021,,дк,984,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,9000,Нет,Да,216,
0,649732,55.130121.002,55-140121-1-1,Классик,Нет,Нет,24.9,1055,1055,19,19,61,2,бе,нв,1,с,н,0,0,0,сс,,нп,0,,Нет,Нет,Нет,0,0,144.83,144.83,153.52,153.52,н,34.01,548.51,дз,0,0,548.51,Да,55000,14.01.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,19,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1055,Да,Да,,
0,0976CL,90.130121.001,90-130121-1-1,Классик,Нет,Нет,24.9,6000,6000,30,30,60,2,бе,нв,1,с,в,0,0,0,с,п,р,39,т,Нет,Нет,Нет,0,0,941.68,941.68,941.68,941.68,р,26.38,1227.36,дз,623,977.2,1227.36,Да,90000,13.01.2021,,и,663,Нет,Да,Нет,Нет,24.9,,30,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,134,
0,217639,98.130121.002,98-130121-1-2,Престиж,Нет,Нет,24.9,6000,3000,36,36,50,1,бе,вс,1,р,н,0,0,0,сс,п,пр,62,вс,Нет,Нет,Нет,0,1,854.66,854.66,707.41,707.41,и,39.02,1390.34,дз,907.91,1321,1390.34,Да,98000,13.01.2021,,зн,999,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,3000,Нет,Да,62,
0,285673,53.140121.002,53-140121-1-1,Классик,Нет,Нет,24.9,4000,4000,36,36,37,1,бе,за,1,р,б,8,2,0,сс,п,р,57,у,Нет,Нет,Нет,0,0,288.4,288.4,278.9,278.9,р,28.62,919.76,дз,993.43,798.5,919.76,Да,53000,14.01.2021,,и,748,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,4000,Нет,Да,184,
0,09251C,54.140121.001,54-150121-1-1,Классик,Нет,Да,24.9,3300,3300,36,36,49,1,бе,за,1,с,в,0,0,0,сс,п,р,5,у,Нет,Нет,Нет,0,2,877.36,877.36,877.36,877.36,р,13.74,1163.04,дз,670.51,798.5,1163.04,Да,54000,15.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,3300,Нет,Да,5,
0,287986,58.140121.003,58-150121-1-1,Престиж,Да,Нет,24.9,3000,2300,36,36,49,2,бе,нв,2,с,б,10,1,0,с,п,р,170,пп,Нет,Нет,Нет,0,2,390.51,390.51,294.88,294.88,р,39.35,1009.03,дз,752.61,1125.5,1009.03,Да,58000,14.01.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,2300,Нет,Да,170,
0,276926,65.140121.003,65-140121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,44,2,бе,нв,3,с,б,0,0,0,с,п,вп,311,пп,Нет,Нет,Нет,0,0,660.57,660.57,660.57,660.57,р,30.71,946.25,дз,862.24,1125.5,946.25,Да,65000,14.01.2021,,зн,793,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,12,
0,521561,65.140121.005,65-150121-1-1,Престиж,Нет,Нет,24.9,2500,2500,36,36,49,2,бе,нв,3,с,б,27,0,0,сс,п,р,112,пп,Нет,Нет,Нет,0,0,601.95,601.95,598.15,598.15,р,27.88,1057.63,дз,849.41,1125.5,1057.63,Да,65000,14.01.2021,,дк,646,Нет,Нет,Нет,Нет,0,24.9,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2500,Нет,Да,112,
0,291066,66.140121.001,66-140121-1-2,Престиж,Да,Да,24.9,6000,6000,36,36,25,2,бе,нв,1,с,б,6,1,0,сс,п,р,49,сх,Нет,Нет,Нет,0,0,730.42,730.42,753.85,753.85,р,37.94,1436.94,дз,1081.82,787.1,1436.94,Да,66000,14.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,6000,Нет,Да,49,
0,561225,66.140121.002,66-140121-1-1,Престиж,Да,Нет,24.9,2000,2000,36,36,25,1,бе,нв,1,р,б,6,1,0,сс,п,р,56,сх,Нет,Нет,Нет,0,0,755.19,755.19,758.17,758.17,р,33.43,1637.14,дз,1615,787.1,1637.14,Да,66000,14.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,2000,Нет,Да,56,
0,0904T4,81.140121.003,81-150121-1-2,VIP,Да,Нет,24.9,2500,2500,36,36,48,1,бе,за,1,с,б,0,3,0,в,п,с,21,ит,Нет,Нет,Нет,0,1,8116.38,8116.38,6454.8,6454.8,п,26.07,9533.58,дз,1070.15,3178.8,9533.58,Да,81000,14.01.2021,,зн,949,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,2500,Нет,Да,19,
0,379444,90.140121.003,90-140121-1-1,Классик,Нет,Нет,24.9,1600,1600,36,36,49,1,бе,за,1,с,б,28,1,0,нс,п,р,66,сх,Нет,Нет,Нет,0,0,216.28,216.28,118.14,118.14,р,27.24,644.8,дз,628.46,787.1,644.8,Да,90000,14.01.2021,,и,912,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1600,Нет,Да,66,
0,0976VN,92.140121.001,92-160121-1-1,Классик,Нет,Нет,24.9,5889,5889,36,36,40,1,бе,нв,1,с,б,18,2,0,сс,п,р,43,пп,Нет,Нет,Нет,2,0,286.6,286.6,286.6,286.6,р,33.24,857.96,дз,849.74,1125.5,857.96,Да,92000,14.01.2021,,зн,836,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,5889,Нет,Да,43,
0,0977GX,52.150121.003,52-150121-1-1,Классик,Нет,Нет,24.9,1500,1500,36,36,37,2,бе,нв,1,с,н,0,0,0,сс,п,р,48,зо,Нет,Нет,Нет,0,0,233.2,233.2,226.1,226.1,р,28.12,610.88,дз,579.19,852.8,610.88,Да,52000,15.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1500,Нет,Да,48,
1,097698,65.150121.001,65-150121-1-2,Классик,Нет,Нет,24.9,3100,3100,36,36,52,2,бе,нв,2,о,б,7,0,0,сс,п,р,9,зо,Нет,Нет,Нет,0,1,1174.77,1174.77,912.94,912.94,р,32.82,1560.45,дз,1737.97,852.8,1560.45,Да,65000,15.01.2021,,сб,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,3100,Нет,Да,9,
0,095SWK,66.150121.001,66-150121-1-1,Престиж,Да,Нет,24.9,4050,4050,36,36,30,1,бе,за,1,с,б,3,1,0,в,п,р,18,пп,Нет,Нет,Нет,0,0,475.46,475.46,463.79,463.79,р,36.94,1103.98,дз,682.82,1125.5,1103.98,Да,66000,15.01.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,4050,Нет,Да,7,
1,528911,66.150121.004,66-160121-1-1,Престиж,Да,Нет,24.9,8500,8500,36,36,40,1,бе,нв,1,с,б,11,1,0,сс,в,р,60,сх,Нет,Нет,Нет,0,0,610.68,610.68,610.68,610.68,р,39.61,1039.2,дз,1279.06,787.1,1039.2,Да,66000,16.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,8500,Нет,Да,60,
1,384757,74.150121.002,74-160121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,48,2,бе,нв,1,с,б,17,0,0,в,п,с,143,у,Нет,Нет,Нет,0,0,1160.6,1160.6,1160.6,1160.6,р,20.09,1446.28,дз,1171.99,798.5,1446.28,Нет,74000,15.01.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,143,
0,249415,81.150121.001,81-150121-1-1,Престиж,Нет,Нет,24.9,700,700,36,36,49,2,бе,нв,1,с,н,0,1,0,в,п,с,183,ит,Нет,Нет,Нет,0,0,717.68,717.68,610.13,610.13,р,20.02,1256.2,дз,1059.35,3178.8,1256.2,Да,81000,15.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,700,Нет,Да,183,
0,0951SV,53.160121.001,53-160121-1-1,Классик,Нет,Нет,24.9,2500,2500,36,36,38,1,бе,за,1,с,б,11,1,0,сс,п,р,17,бу,Нет,Нет,Нет,0,0,511.47,511.47,511.47,511.47,р,12.88,939.99,дз,1028.17,1159.1,939.99,Да,53000,16.01.2021,,и,846,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2500,Нет,Да,17,
0,0977QE,62.160121.001,62-160121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,42,1,бе,нв,1,с,б,17,1,0,в,п,пр,95,ит,Нет,Нет,Нет,1,1,9509.08,9509.08,7394.83,7394.83,п,39.44,12437.6,дз,1043.91,3178.8,12437.6,Да,62000,16.01.2021,,и,538,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,95,
0,093HMI,74.160121.001,74-250121-1-1,Классик,Нет,Нет,24.9,2000,2000,36,36,37,2,бе,нв,1,с,б,12,3,0,сс,п,с,23,т,Нет,Нет,Нет,0,0,251.4,251.4,254.87,254.87,р,15.37,1030.6,дз,303.26,977.2,1030.6,Да,74000,25.01.2021,,зн,342,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2000,Нет,Да,26,
0,091X59,78.160121.001,78-160121-1-1,Престиж,Да,Нет,24.9,500,500,12,12,26,2,бе,нв,1,р,н,0,0,0,сс,п,с,18,т,Нет,Нет,Нет,0,0,880.38,880.38,926.68,926.68,р,8.56,1269.06,дз,1048.6,977.2,1269.06,Да,78000,16.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,12,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,500,Нет,Да,19,
0,095SYA,95.160121.001,95-160121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,49,2,бе,нв,2,с,б,27,0,0,в,п,с,19,пн,Нет,Нет,Нет,0,0,1112.22,1112.22,1104.99,1104.99,р,23.72,1442.15,дз,889.7,1435.2,1442.15,Да,95000,16.01.2021,,дк,895,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,216,
1,653492,58.180121.001,58-190121-1-1,Престиж,Нет,Нет,24.9,2000,2000,36,36,34,1,бе,но,3,с,б,13,2,0,сс,п,п,30,пп,Нет,Нет,Нет,0,0,9217.62,9217.62,8343.81,8343.81,и,9.77,10076.68,дз,0,0,10076.68,Да,58000,18.01.2021,,и,829,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2000,Нет,Да,,
1,097UK5,71.180121.001,71-190121-1-2,Классик,Нет,Нет,24.9,6000,6000,36,36,24,1,бе,за,1,р,б,1,1,0,с,п,вп,30,сх,Нет,Нет,Нет,0,2,686.81,686.81,742.28,742.28,р,27.46,1213.33,дз,1074.61,787.1,1213.33,Да,71000,18.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,30,
0,299862,76.180121.001,76-180121-1-1,Престиж,Да,Нет,24.9,8000,7700,36,36,42,2,бе,нв,2,с,б,20,1,0,в,п,с,257,бу,Нет,Нет,Нет,0,1,662.89,662.89,651.45,651.45,р,39.64,1171.41,дз,1175,1159.1,1171.41,Да,76000,18.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,7700,Нет,Да,216,
1,504794,78.180121.002,78-120221-1-1,Престиж,Да,Нет,24.9,1900,1900,36,36,42,1,бе,за,1,р,б,10,1,0,сс,п,с,9,пп,Нет,Нет,Нет,2,7,92.78,92.78,92.78,92.78,р,17.65,521.3,дз,443.67,1125.5,521.3,Да,78000,11.02.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Да,1900,Нет,Да,10,
0,096WAP,86.180121.001,86-280121-1-1,Престиж,Да,Нет,24.9,2500,1100,36,36,48,2,бе,нв,1,о,р,0,0,0,сс,п,с,3,т,Нет,Нет,Нет,0,3,212.93,212.93,70.12,70.12,р,39.33,498.61,дз,13.95,977.2,498.61,Да,86000,18.01.2021,,дк,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,1100,Нет,Да,3,
